,Unnamed: 0,Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
0,0,JPMorgan Warns Big Investors Are Suddenly Dumping Bitcoin For Ethereum Amid A $150 Billion Crypto Price Crash,2021-09-26T10:15:44Z,https://www.forbes.com/sites/billybambrough/2021/09/26/jpmorgan-warns-big-investors-are-suddenly-dumping-bitcoin-for-ethereum-amid-a-150-billion-crypto-price-crash/,"Ahead of China's latest bitcoin and crypto crackdown, analysts at Wall Street giant JPMorgan﻿ have warned big investors have begun pivoting out of bitcoin futures and into ethereum...","Bitcoin and cryptocurrency prices have fallen sharply through September, proving bears right.
Subscribe now to Forbes' CryptoAsset &amp; Blockchain Advisor and discover hot new NFT and crypto blockb… [+3604 chars]",-0.2732,0.0,0.928,0.072
1,1,"Amid China's crackdown on crypto, here's how to trade Bitcoin and Ethereum",2021-09-26T05:45:20Z,https://economictimes.indiatimes.com/markets/cryptocurrency/amid-chinas-crackdown-on-crypto-heres-how-to-trade-in-bitcoin-and-ethereum/articleshow/86524556.cms,"This month we had some good news too for BTC, El Salvador started building an infrastructure which would facilitate the BTC as legal tender. UAE is leading the crypto wonder with trading in Dubai free zones approved by the regulators and even Ukraine adopted …","Bitcoin, the largest cryptocurrency, started its September run on a very good note. The first week was fairly positive as the asset soared high, touching almost $52,900 on September 7, following whic… [+4661 chars]",0.8591,0.208,0.792,0.0
2,2,3 NFT Stocks With High Growth Potential,2021-09-25T13:30:00Z,https://www.fool.com/investing/2021/09/25/3-nft-stocks-with-high-growth-potential/,The non-fungible token market is booming and these companies could play a role in its future.,"The market for non-fungible tokens -- digital assets like art, video clips, or music that ownership identified in the blockchain -- came to life in 2021, despite some ups and downs. Three months ago,… [+3840 chars]",0.34,0.146,0.854,0.0
3,3,Bitcoin mining company buys Pennsylvania power plant to meet electricity needs,2021-09-26T12:41:00Z,https://www.techspot.com/news/91430-bitcoin-mining-company-buys-pennsylvania-power-plant-meet.html,"Mining the top cryptocurrencies such as Bitcoin or Ethereum requires vast amounts of power. A single Bitcoin transaction, including the resources needed to mine the coin and to verify the transaction, can total upwards of 1,700 kilowatt hours (kWh). This ever…",What just happened? Crypto mining companies are continuing to find innovative solutions to power problems despite concerns regarding Bitcoin mining's immense power requirements and ecological impacts… [+2782 chars],0.2023,0.044,0.956,0.0
4,4,TikTok shows Gen Z how to buy bitcoin and crypto. But they need other investing advice too.,2021-09-26T10:40:10Z,https://www.usatoday.com/story/news/2021/09/26/gen-z-learns-buy-crypto-social-media-they-need-professional-advice-too/5869047001/,Financial insecurity is influencing young investors to take on risk with cryptocurrencies. They're learning how to on TikTok and Instagram.,"On today's episode of 5 Things: Gen Zers and millennials endured two “once-in-a-lifetime” recessions during their prime earning years. That’s caused a lot of financial pain, especially for people of … [+32313 chars]",-0.5994,0.0,0.786,0.214
5,5,"Why Bitcoin, Ethereum And Dogecoin Could Be In For A Bumpy Road Ahead - Benzinga - Benzinga",2021-09-25T17:09:00Z,https://www.benzinga.com/markets/cryptocurrency/21/09/23101760/why-bitcoin-ethereum-and-dogecoin-could-be-in-for-a-bumpy-road-ahead,"<ol><li>Why Bitcoin, Ethereum And Dogecoin Could Be In For A Bumpy Road Ahead - Benzinga  Benzinga
</li><li>China banning crypto transactions ‘great news for bitcoin’: Investment firm CEO  Yahoo Finance
</li><li>China banned all crypto transactions on Frida…","Bitcoin (CRYPTO: BTC), Dogecoin (CRYPTO: DOGE) and Ethereum (CRYPTO: ETH) have developed inside bar patterns on the daily chart. An inside bar pattern indicates a period of consolidation and is usual… [+2521 chars]",-0.4588,0.0,0.917,0.083
6,6,"Dogecoin, Bitcoin, Ethereum See Buying Opportunity After Another China Crackdown - Benzinga - Benzinga",2021-09-25T13:05:00Z,https://www.benzinga.com/markets/cryptocurrency/21/09/23101058/dogecoin-bitcoin-ethereum-see-buying-opportunity-after-another-china-crackdown,"<ol><li>Dogecoin, Bitcoin, Ethereum See Buying Opportunity After Another China Crackdown - Benzinga  Benzinga
</li><li>China banning crypto transactions ‘great news for bitcoin’: Investment firm CEO  Yahoo Finance
</li><li>Bitcoin and ether slide as China i…","After the latest reports about a cryptocurrency ban being enforced by Chinese authorities once again, bears pushed Bitcoin's (CRYPTO: BTC) price down to under $41,000 and most of the cryptocurrency m… [+2676 chars]",0.4215,0.083,0.917,0.0
7,7,CAA Signs Jenkins The Valet: Is This A Sign That Hollywood Is Embracing NFTs?,2021-09-25T19:39:40Z,https://www.forbes.com/sites/cathyhackl/2021/09/25/caa-signs-jenkins-the-valet-is-this-a-sign-that-hollywood-is-embracing-nfts/,"An NFT avatar has signed with global talent agency, CAA. The agency works with the likes of Beyonce, Justin Bieber, JJ Abrams, Zion Williamson, and now counts a non-fungible token as one of their clients. Will Jenkins the Valet take over Hollywood?","Bored Ape Yatch Club NFT: Jenkins The Valet
Jenkins The Valet
As if 2021 couldnt get crazier in the Metaverse or the regular-old universe, Jenkins the Valet, a Non-Fungible Token (NFT) avatar on th… [+6062 chars]",0.8091,0.18,0.82,0.0
8,8,Derivatives data suggests Solana has reached a short-term top,2021-09-25T19:45:38Z,https://cointelegraph.com/news/derivatives-data-suggests-solana-has-reached-a-short-term-top,"SOL's futures open interest recently hit $1 billion and while the recent price swing liquidated leveraged longs, data suggests the short-term top is not a bearish trend reversal.",Solana (SOL) reached a $216 all-time high on Sept. 9 after rallying 508% since Aug. The bull run caused some analysts to project a $500 target which would translate to a $150 billion market capitaliz… [+3686 chars],0.5859,0.161,0.839,0.0
9,9,Bitcoin And Ethereum: What The Price Charts May Tell Us Now,2021-09-25T16:06:26Z,https://www.forbes.com/sites/johnnavin/2021/09/25/bitcoin-and-ethereum-what-the-price-charts-may-tell-us-now/,"With the Coinbase CEO ready to take on the Securities and Exchange Commission over what constitutes a security — and with the AMC CEO saying his operation is pleased to accept payments in Dogecoin, you have to hand it to the crypto world.","Bitcoin and cryptocurrency investing concept 
getty
With the Coinbase CEO ready to take on the Securities and Exchange Commission over what constitutes a security and with the AMC CEO saying his op… [+2939 chars]",0.93,0.311,0.689,0.0
10,10,"Bloody Weekend: Bitcoin Plunges Toward $40K, $80B Erased From the Crypto Market Cap - CryptoPotato",2021-09-26T08:42:51Z,https://cryptopotato.com/bloody-weekend-bitcoin-plunges-toward-40k-80b-erased-from-the-crypto-market-cap/,"<ol><li>Bloody Weekend: Bitcoin Plunges Toward $40K, $80B Erased From the Crypto Market Cap  CryptoPotato
</li><li>China banned all crypto transactions on Friday, but experts say the move was mostly priced in for bitcoin  Yahoo Tech
</li><li>Dogecoin, Bitco…","After the relatively positive Saturday, the bears have returned to the market and pushed bitcoin south to below $41,000. The alternative coins have also suffered badly, with ETH dropping beneath $2,8… [+2507 chars]",-0.25,0.0,0.946,0.054
11,11,"The Crypto Daily – Movers and Shakers – September 26th, 2021",2021-09-26T00:47:46Z,https://finance.yahoo.com/news/crypto-daily-movers-shakers-september-004746236.html,"Following a mixed day for the majors on Saturday, a Bitcoin move back through to $43,000 levels would deliver support.","Bitcoin, BTC to USD, fell by 0.34% on Saturday. Following a 4.54% slide on Friday, Bitcoin ended the day at $42,714.0.
A mixed start to the day saw Bitcoin rise to an early morning intraday high $42… [+2598 chars]",0.4019,0.137,0.863,0.0
12,12,Bit2Me Raises $23.9M in Minutes Securing the Future of Spain’s Fastest Growing Exchange,2021-09-25T15:42:35Z,https://bitcoinist.com/bit2me-raises-23-9m-in-minutes-securing-the-future-of-spains-fastest-growing-exchange/,"Bit2Me, Spain’s largest cryptocurrency exchange, has raised $20.9 million (20M EUR) following record-breaking public token sales involving its newly-launched Ethereum-based token, B2M. The amount was raised in three separate rounds, each of which saw sub-minu…","Bit2Me, Spains largest cryptocurrency exchange, has raised $20.9 million (20M EUR) following record-breaking public token sales involving its newly-launched Ethereum-based token, B2M. The amount was … [+4156 chars]",0.0,0.0,1.0,0.0
13,13,A Detailed Analysis of the DeFi Market and How Local Trade Affects Its Further Development,2021-09-25T16:27:29Z,https://bitcoinist.com/a-detailed-analysis-of-the-defi-market-and-how-local-trade-affects-its-further-development/,"When decentralized finance “DeFi” emerged, it caused a lot of contradictory opinions among the masses. Some were really excited and delighted with this new kind of service that removed traditional market intermediaries, providing an accessible, clear, transpa…","When decentralized finance DeFi emerged, it caused a lot of contradictory opinions among the masses. Some were really excited and delighted with this new kind of service that removed traditional mark… [+14087 chars]",0.7548,0.205,0.74,0.055
14,14,China's decision to declare crypto illegal sparks panic sales in India,2021-09-26T03:22:06Z,https://economictimes.indiatimes.com/markets/cryptocurrency/dragons-crypto-call-sparks-panic-sales-in-india/articleshow/86523252.cms,Several Indian investors rushed to square off their positions in smaller cryptocurrencies while others took refuge in safer names like Bitcoin and Ethereum as the asset class tumbled on Friday and Saturday after the Chinese central bank declared all cryptocur…,Mumbai: Several Indian investors rushed to square off their positions in smaller cryptocurrencies while others took refuge in safer names like Bitcoin and Ethereum as the asset class tumbled on Frida… [+2582 chars],0.7783,0.174,0.826,0.0
15,15,Bit2Me Raises $23.9M After Several Successful Token Sales,2021-09-25T15:36:29Z,https://www.newsbtc.com/news/company/bit2me-raises-23-9m-after-several-successful-token-sales/,"Spanish cryptocurrency exchange, Bit2Me, has successfully raised $23.9 million (20M EUR) following three highly-demanded public sale rounds for its newly launched token, B2M. The first public sale, launched on September 6th, 2021, saw a staggering $5.9 millio…","Spanish cryptocurrency exchange, Bit2Me, has successfully raised $23.9 million (20M EUR) following three highly-demanded public sale rounds for its newly launched token, B2M. The first public sale, l… [+4452 chars]",0.6369,0.158,0.842,0.0
16,16,"Crypto recovers on positive Fed and Evergrande news, then drops amid China FUD; Sorare and Dapper Labs raised a combined $930M: Hodler’s Digest, Sept. 19-25",2021-09-25T20:30:02Z,https://cointelegraph.com/magazine/2021/09/25/crypto-recovers-fed-evergrande-drops-china-fud-sorare-dapper-labs-raised-combined-930m-hodlers-digest-sept-19-25,"The crypto market bounced following bullish moves from Evergrande and the Fed, the Biden administration is looking to hire an anti-crypto attorney as OCC head, and John Cena’s NFT drop was a “catastrophic failure.”","Coming every Saturday, Hodlers Digest will help you track every single important news story that happened this week. The best (and worst) quotes, adoption and regulation highlights, leading coins, pr… [+10661 chars]",-0.2732,0.0,0.938,0.062
17,17,Top 6 Cryptocurrency Market Podcasts You Must Follow In 2021,2021-09-26T06:48:36Z,https://www.jamesallenonf1.com/cryptocurrency-market-podcasts-follow/,There are many things to learn in terms of Crypto trading. Listening to cryptocurrency market podcasts is the best way to learn about various techniques and strategies to use in trading. Confusion might arise while selecting the best ones. Don’t worry because…,There are many things to learn in terms of Crypto trading. Listening to cryptocurrency market podcasts is the best way to learn about various techniques and strategies to use in trading. Confusion mi… [+6058 chars],0.6486,0.163,0.738,0.099
18,18,NFTs In A Nutshell: A Weekly Review,2021-09-26T07:24:53Z,https://bitcoinist.com/nfts-in-a-nutshell-a-weekly-review-22/,"It was a long week for NFTs. There was an abundant amount of chatter around potential hackers, Dapper Labs raised another round of capital, and a Bored Ape signed an agency deal. As always, we’re taking a look back at the last seven days of activity around NF…","It was a long week for NFTs. There was an abundant amount of chatter around potential hackers, Dapper Labs raised another round of capital, and a Bored Ape signed an agency deal.
As always, we’re ta… [+4703 chars]",-0.2732,0.0,0.954,0.046
19,19,Can Decentralized Finance Become the Future’s New Digital Economy ?,2021-09-25T16:49:01Z,https://www.newsbtc.com/news/company/can-decentralized-finance-become-the-futures-new-digital-economy/,"Over the past two years, DeFi has perhaps become the most striking event in cryptocurrency reality. The rise of this new star is closely tied to Ethereum, the second-largest cryptocurrency network by market capitalization, on top of which almost every existin…","Over the past two years, DeFi has perhaps become the most striking event in cryptocurrency reality. The rise of this new star is closely tied to Ethereum, the second-largest cryptocurrency network by… [+10338 chars]",0.2023,0.043,0.957,0.0
